"","SuccessLoc1","SuccessIntCon1","SuccessStab1","SuccessIntCon2","SuccessExtCon1","SuccessLoc2","SuccessStab2","SuccessExtCon2","SuccessLoc3","SuccessIntCon3","SuccessStab3","SuccessExtCon3","FailLoc1","FailIntCon1","FailStab1","FailIntCon2","FailExtCon1","FailLoc2","FailStab2","FailExtCon2","FailLoc3","FailIntCon3","FailStab3","FailExtCon3","Success_Locus_Total","Success_Int_Cont_Total","Success_Ext_Cont_Total","Success_Stability_Total","Failure_Locus_Total","Failure_Int_Cont_Total","Failure_Ext_Cont_Total","Failure_Stability_Total","Size_of_Program","Public_vs_Private","Number_of_Ensembles","Years_at_School","Degree_Earned","School_Level","Reported_Gender","Reported_Race","Z_Score_Failure_Locus","Z_Score_Failure_Int_Cont","Z_Score_Failure_Ext_Cont","Z_Score_Failure_Stability","Z_Score_Success_Locus","Z_Score_Success_Int_Cont","Z_Score_Success_Ext_Cont","Z_Score_Success_Stability","Z_Score_Ensembles","Z_Score_Years_at_School"
"1",1,9,1,1,9,9,1,9,9,5,1,9,1,1,9,1,9,1,9,9,1,2,1,9,19,15,27,2,3,4,27,18,"50–100","Private",2,2,"Non-Music Ed","University/4-Yr","Female","Marked at Least One Non-White",-1.41957191850239,-1.69417427121002,1.84023694114341,4.00573997120964,0.838802483250378,-1.08933842530678,2.05280100753124,-2.05958037542273,-0.520992770698108,-0.980023139668856
"2",2,3,2,3,8,5,3,3,3,5,5,5,8,8,5,8,5,5,2,5,6,7,5,5,10,11,16,5,19,23,15,7,"50–100","Public",6,1,"Non-Music Ed","K-8","Male","Only Marked ""White""",1.09741292969826,1.14555893668718,-0.404336905509903,0.370095540818282,-1.01792819764111,-2.10423112838199,-0.346051060429884,-1.26155271255592,2.37920031952136,-1.10143550192753
"3",1,3,2,5,8,4,4,8,1,6,1,8,5,5,3,7,9,4,3,9,4,8,1,9,6,14,24,6,13,20,27,6,"Less than 50 students","Private",3,6,"Multiple Reported","University/4-Yr","Male","Only Marked ""White""",0.153543611623019,0.697180009124461,1.84023694114341,0.0395824107827039,-1.84314183359288,-1.34306160107558,1.39856862536002,-0.995543491600314,0.204055501856759,-0.494373690634141
"4",3,4,7,4,6,5,2,8,3,7,4,7,7,6,2,4,6,5,3,6,5,6,3,7,11,15,21,9,17,16,19,5,"100–150","Public",2,1,"Multiple Reported","University/4-Yr","Female","Only Marked ""White""",0.782789823673182,0.0993414390408411,0.343854376707869,-0.290930719252875,-0.811624788653165,-1.08933842530678,0.744336243188807,-0.197515828733502,-0.520992770698108,-1.10143550192753
"5",7,7,4,4,7,4,3,7,6,7,3,7,2,4,2,7,6,2,3,7,2,6,2,2,17,18,21,7,6,17,15,5,"Less than 50 students","Public",2,1,"Multiple Reported","More Than One Level","Male","Only Marked ""White""",-0.947637259464767,0.248801081561746,-0.404336905509903,-0.290930719252875,0.426195665274493,-0.328168898000368,0.744336243188807,-0.72953427064471,-0.520992770698108,-1.10143550192753
"6",6,6,3,5,2,3,3,8,6,7,3,6,6,7,1,7,3,1,1,9,3,8,3,4,15,18,16,6,10,22,16,2,"50–100","Public",3,5,"Music Education","K-8","Female","Only Marked ""White""",-0.318391047414604,0.996099294166271,-0.21728908495546,-1.28247010935961,0.0135888472986069,-0.328168898000368,-0.346051060429884,-0.995543491600314,0.204055501856759,-0.61578605289282
"7",1,5,6,6,5,7,4,7,2,4,4,5,3,7,5,7,7,3,3,7,5,7,7,8,10,15,17,10,11,21,22,8,"Less than 50 students","Private",2,4,"Non-Music Ed","University/4-Yr","Female","Only Marked ""White""",-0.161079494402063,0.846639651645366,0.904997838371198,0.700608670853861,-1.01792819764111,-1.08933842530678,-0.127973599706146,0.0684933922221019,-0.520992770698108,-0.737198415151499
"8",3,7,5,6,6,6,4,7,3,7,5,6,2,4,3,6,6,3,4,7,3,7,3,6,12,20,19,9,8,17,19,7,"Less than 50 students","Public",3,6,"Non-Music Ed","Community/2-Yr College","Female","",-0.633014153439685,0.248801081561746,0.343854376707869,0.370095540818282,-0.605321379665222,0.179277453537238,0.308181321741331,-0.197515828733502,0.204055501856759,-0.494373690634141
"9",5,9,5,9,1,9,9,1,9,9,9,9,5,9,1,9,1,9,1,1,5,9,1,1,23,27,11,14,19,27,3,2,"Less than 50 students","Private",2,1,"Multiple Reported","University/4-Yr","Female","Only Marked ""White""",1.09741292969826,1.7433975067708,-2.64891075216322,-1.28247010935961,1.66401611920215,1.95533968391886,-1.43643836404858,1.13253027604452,-0.520992770698108,-1.10143550192753
"10",3,8,8,5,6,5,7,9,3,7,3,5,2,2,4,2,7,4,4,7,2,3,3,7,11,20,20,15,8,7,21,8,"100–150","Private",2,24,"Non-Music Ed","University/4-Yr","Male","Only Marked ""White""",-0.633014153439685,-1.2457953436473,0.717950017816754,0.700608670853861,-0.811624788653165,0.179277453537238,0.526258782465069,1.39853949700012,-0.520992770698108,1.69104883002208
"11",5,5,3,7,7,5,1,9,1,5,1,9,9,9,1,9,7,9,6,9,9,9,1,9,11,17,25,4,27,27,25,7,"Less than 50 students","Public",1,1.5,"Multiple Reported","University/4-Yr","Male","Only Marked ""White""",2.35590535379859,1.7433975067708,1.46614130003453,0.370095540818282,-0.811624788653165,-0.581892073769172,1.61664608608376,-1.52756193351152,-1.24604104325298,-1.0407293207982
"12",7,7,3,8,5,5,2,8,6,8,2,8,8,8,2,8,7,5,2,8,5,8,3,8,18,23,21,5,18,24,23,4,"Less than 50 students","Private",2,5,"Multiple Reported","University/4-Yr","Male","Only Marked ""White""",0.940101376685723,1.29501857920808,1.09204565892564,-0.621443849288453,0.632499074262435,0.940446980843648,0.744336243188807,-1.26155271255592,-0.520992770698108,-0.61578605289282
"13",3,5,6,5,6,6,3,6,4,6,4,5,2,2,1,2,2,5,1,3,1,2,8,2,13,16,17,9,8,6,7,2,"Less than 50 students","Private",2,8,"Music Education","University/4-Yr","Male","Only Marked ""White""",-0.633014153439685,-1.39525498616821,-1.90071946994545,-1.28247010935961,-0.399017970677279,-0.835615249537975,-0.127973599706146,-0.197515828733502,-0.520992770698108,-0.251548966116783
"14",2,6,3,4,7,8,8,9,4,7,3,5,5,1,1,1,1,1,3,7,1,1,1,4,14,17,21,11,7,3,12,4,"50–100","Private",1,9,"Multiple Reported","University/4-Yr","Male","Only Marked ""White""",-0.790325706452226,-1.84363391373092,-0.965480367173232,-0.621443849288453,-0.192714561689336,-0.581892073769172,0.744336243188807,0.334502613177706,-1.24604104325298,-0.130136603858105
"15",6,5,6,6,4,6,6,4,6,6,4,4,7,7,1,5,4,5,1,4,5,6,5,4,18,17,12,12,17,18,12,2,"50–100","Public",2,20,"Non-Music Ed","Community/2-Yr College","Female","Only Marked ""White""",0.782789823673182,0.398260724082651,-0.965480367173232,-1.28247010935961,0.632499074262435,-0.581892073769172,-1.21836090332484,0.60051183413331,-0.520992770698108,1.20539938098736
"16",5,5,3,7,3,7,5,5,5,3,5,5,5,5,3,9,1,9,7,4,8,9,8,2,17,15,13,8,22,23,7,10,"50–100","Public",2,20,"Multiple Reported","Community/2-Yr College","Male","Only Marked ""White""",1.56934758873589,1.14555893668718,-1.90071946994545,1.36163493092502,0.426195665274493,-1.08933842530678,-1.0002834426011,-0.463525049689106,-0.520992770698108,1.20539938098736
"17",8,8,6,2,8,6,8,8,8,6,2,8,3,6,2,7,8,4,6,8,5,8,1,9,22,16,24,14,12,21,25,8,"Less than 50 students","Private",1,22,"Non-Music Ed","University/4-Yr","Male","Marked at Least One Non-White",-0.0037679413895219,0.846639651645366,1.46614130003453,0.700608670853861,1.45771271021421,-0.835615249537975,1.39856862536002,1.13253027604452,-1.24604104325298,1.44822410550472
